insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T1', 15, 'S241', 'G8', 'P1');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T2', 12, 'S85', 'G2', 'P2');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T3', 15, 'S177', 'G6', 'P3');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T4', 12, 'S274', 'G10', 'P4');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T5', 14, 'S332', 'G3', 'P5');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T6', 15, 'S299', 'G7', 'P6');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T7', 12, 'S156', 'G5', 'P7');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T8', 15, 'S220', 'G4', 'P8');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T9', 12, 'S93', 'G9', 'P9');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T10', 15, 'S28', 'G1', 'P10');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T11', 13, 'S214', 'G7', 'P11');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T12', 13, 'S3', 'G4', 'P12');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T13', 12, 'S346', 'G2', 'P13');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T14', 14, 'S318', 'G3', 'P14');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T15', 14, 'S168', 'G9', 'P15');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T16', 14, 'S43', 'G6', 'P16');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T17', 15, 'S59', 'G10', 'P17');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T18', 12, 'S350', 'G8', 'P18');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T19', 12, 'S52', 'G5', 'P19');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T20', 12, 'S164', 'G1', 'P20');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T21', 15, 'S220', 'G3', 'P21');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T22', 12, 'S295', 'G2', 'P22');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T23', 12, 'S343', 'G7', 'P23');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T24', 13, 'S55', 'G9', 'P24');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T25', 13, 'S335', 'G1', 'P25');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T26', 15, 'S21', 'G4', 'P26');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T27', 15, 'S191', 'G8', 'P27');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T28', 12, 'S256', 'G10', 'P28');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T29', 14, 'S19', 'G6', 'P29');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T30', 15, 'S258', 'G2', 'P30');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T31', 13, 'S258', 'G5', 'P31');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T32', 12, 'S140', 'G4', 'P32');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T33', 13, 'S226', 'G7', 'P33');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T34', 15, 'S153', 'G3', 'P34');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T35', 12, 'S11', 'G9', 'P35');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T36', 15, 'S53', 'G1', 'P36');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T37', 13, 'S131', 'G10', 'P37');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T38', 13, 'S227', 'G6', 'P38');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T39', 13, 'S201', 'G2', 'P39');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T40', 15, 'S273', 'G5', 'P40');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T41', 14, 'S152', 'G8', 'P41');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T42', 14, 'S206', 'G1', 'P42');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T43', 15, 'S13', 'G7', 'P43');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T44', 14, 'S118', 'G9', 'P44');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T45', 13, 'S15', 'G3', 'P45');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T46', 15, 'S109', 'G10', 'P46');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T47', 13, 'S72', 'G6', 'P47');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T48', 12, 'S23', 'G2', 'P48');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T49', 15, 'S274', 'G8', 'P49');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T50', 12, 'S26', 'G4', 'P50');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T51', 15, 'S141', 'G1', 'P51');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T52', 13, 'S48', 'G5', 'P52');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T53', 13, 'S286', 'G9', 'P53');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T54', 14, 'S172', 'G2', 'P54');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T55', 14, 'S21', 'G10', 'P55');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T56', 14, 'S301', 'G4', 'P56');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T57', 14, 'S236', 'G7', 'P57');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T58', 12, 'S51', 'G3', 'P58');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T59', 13, 'S127', 'G8', 'P59');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T60', 14, 'S167', 'G5', 'P60');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T61', 13, 'S15', 'G1', 'P61');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T62', 13, 'S70', 'G6', 'P62');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T63', 13, 'S32', 'G9', 'P63');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T64', 14, 'S89', 'G3', 'P64');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T65', 14, 'S224', 'G10', 'P65');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T66', 14, 'S180', 'G2', 'P66');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T67', 13, 'S250', 'G4', 'P67');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T68', 14, 'S14', 'G7', 'P68');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T69', 13, 'S285', 'G1', 'P69');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T70', 15, 'S93', 'G5', 'P70');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T71', 14, 'S48', 'G8', 'P71');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T72', 15, 'S45', 'G3', 'P72');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T73', 15, 'S163', 'G6', 'P73');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T74', 12, 'S170', 'G10', 'P74');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T75', 13, 'S327', 'G1', 'P75');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T76', 12, 'S84', 'G7', 'P76');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T77', 12, 'S252', 'G4', 'P77');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T78', 14, 'S47', 'G9', 'P78');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T79', 15, 'S22', 'G2', 'P79');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T80', 13, 'S168', 'G5', 'P80');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T81', 14, 'S17', 'G8', 'P81');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T82', 12, 'S216', 'G3', 'P82');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T83', 12, 'S242', 'G1', 'P83');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T84', 15, 'S250', 'G6', 'P84');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T85', 13, 'S179', 'G9', 'P85');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T86', 14, 'S60', 'G4', 'P86');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T87', 14, 'S123', 'G10', 'P87');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T88', 14, 'S209', 'G2', 'P88');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T89', 12, 'S45', 'G7', 'P89');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T90', 15, 'S96', 'G3', 'P90');
insert into ticket (ticket_id, price, schedule_id, member_id, payment_id) values ('T91', 15, 'S265', 'G5', 'P91');
